Energy(eV),OscStrength
1.601288144463749674e+00,6.540888903942171373e-02
1.602969299353033561e+00,1.503127713220205703e-04
1.606054726974375901e+00,5.828188157748137241e-03
1.609117839215439716e+00,3.229741091118271900e-06
1.612816589301132364e+00,9.308839689601809290e-06
1.617071850247876252e+00,3.964183504747738340e-02
1.619990263488631621e+00,4.406237061974977364e-04
1.621206973578368071e+00,9.127397914397731779e-03
1.623083924771975717e+00,5.602059356027304371e-03
1.625341237293001395e+00,3.129452052321997444e-04
1.626299237170661716e+00,2.930131410329690029e-04
1.630303410628660243e+00,3.332626559181632846e-03
1.636653933768264402e+00,1.062480621400128922e-04
1.639089015840781371e+00,1.682630486630263059e-03
1.640981884255598988e+00,6.116195581618751043e-03
1.642941693017483606e+00,4.639174454716446495e-04
1.643409517181884327e+00,9.429687256176005870e-06
1.644212633514462896e+00,1.604586891144301223e-03
1.649822165869442081e+00,8.212668899193160477e-04
1.656702748067751196e+00,5.961960522688763454e-03
1.660525086447824483e+00,3.103337539025183468e-05
1.669396494156661470e+00,1.291952866296234637e-04
1.669459301420907593e+00,4.713950236368012731e-07
1.670813683829216911e+00,6.256959216603248880e-04
1.679353324633402256e+00,3.639684436218985908e-02
1.683807417003329476e+00,5.906335017409165767e-08
1.687932759268135019e+00,1.365099840575045268e-04
1.691431704167662309e+00,7.639642548027090080e-06
1.693701660228640993e+00,3.219554327736551258e-02
1.696155104168137084e+00,3.187521426694068551e-03
1.701732853750806518e+00,9.306404914448219295e-03
1.703233516004533987e+00,5.274721906367874427e-03
1.703850251869853283e+00,1.668817369273271423e-03
1.704047257496404066e+00,2.597625986444223288e-03
1.705909116033520245e+00,6.686029510417144765e-04
1.712456760470932426e+00,9.597136304302918510e-05
1.714850439572313423e+00,4.487157443765754944e-06
1.717116885050683717e+00,3.278395729800573247e-05
1.718498289082117658e+00,5.825375513250677373e-02
1.721587709886577500e+00,1.519322246372054216e-07
1.722897507180857435e+00,2.724563275224373398e-03
1.724082395616680197e+00,1.838834358288794811e-03
1.726358839470423012e+00,1.939813174733401660e-02
1.730077447122591927e+00,3.413967721955095402e-02
1.733545126761733446e+00,2.121965071259476899e-06
1.734112345754867057e+00,2.678024341709375395e-07
1.734735303757791725e+00,2.018378013185719369e-02
1.735982599109581415e+00,4.363965415229017591e-10
1.736497841909637962e+00,3.886345386790241905e-05
1.737972140274167243e+00,4.773641665533803324e-04
1.739306676357162962e+00,1.282667034447231779e-05
1.740114890142423709e+00,9.166765112789650237e-05
1.740809936768522803e+00,1.337506542113595460e-05
1.741247370870255162e+00,2.039893205886090383e-03
1.744063613726102302e+00,3.189972163908321497e-03
1.744381948325222087e+00,4.705303448269101615e-03
1.749337032340506859e+00,6.188129633913539937e-05
1.750609112033084669e+00,3.890438958324085949e-06
1.751053164068618440e+00,7.790633181723477128e-04
1.755270963305367138e+00,6.318908403448458702e-04
1.756852822051256702e+00,3.677237775276149728e-07
1.757262140022774144e+00,3.186866367170508737e-04
1.760990572246823982e+00,2.486725046115319151e-06
1.764177172340603894e+00,4.900511808947382794e-03
1.766548767165823541e+00,8.408868101634759168e-06
1.768675557723512037e+00,1.313247029467732750e-03
1.770322151622652385e+00,6.444259601797981650e-07
1.778735003441269447e+00,1.972743631539971686e-03
1.779802573888614736e+00,1.156058298759750733e-05
1.782765113561436188e+00,9.779764828466452411e-07
1.786609059792719556e+00,5.353691196182426689e-04
1.794175623186330837e+00,2.749750404319692679e-06
1.796101303687186679e+00,2.161711777735062737e-03
1.796905520643548693e+00,2.498837155356186252e-07
1.797807276254633324e+00,4.798536517323006293e-05
1.798257602493064544e+00,1.101048642783625242e-03
1.801013442093702288e+00,3.105142913743626915e-02
1.803705579988807983e+00,4.863415458452922762e-05
1.805944356290227537e+00,8.179183656869379229e-04
1.810778182019683546e+00,3.150398731453076927e-03
1.812216065375485963e+00,6.412563789679339799e-05
1.815407033254523572e+00,7.859275998800182086e-03
1.816490153285265308e+00,2.554686455658779502e-04
1.819214235168717497e+00,4.174231122122167232e-04
1.820801717100507533e+00,1.975030639107185418e-02
1.824424501301411317e+00,7.376705500309768335e-03
1.826496532097534153e+00,3.775607573357317621e-03
1.826871442143770174e+00,2.645311111267120100e-03
1.828198602714192766e+00,1.639693701371226948e-03
1.829935143909346973e+00,3.470182533498842577e-06
1.831367907693615127e+00,9.084344840901475219e-08
1.832208886477213916e+00,3.823110065240061949e-04
1.835507852209408819e+00,8.784841560685955373e-07
1.836239193629841449e+00,1.589550712663674939e-04
1.836565924597367339e+00,8.178747600078460547e-04
1.837848172557349447e+00,7.980489893443880572e-06
1.839930795037653111e+00,1.181868588326489937e-02
1.843998973497344540e+00,5.158282330989202430e-07
1.845716260986256740e+00,8.493770267448852848e-07
1.846359694648280536e+00,3.754777609021019147e-02
1.850839446214859629e+00,1.311582409673486480e-02
1.860300016248074728e+00,6.301195399654623518e-03
1.861865352649791916e+00,1.171011689675559596e-04
1.862067017037664751e+00,1.500110000825537902e-05
1.863204507267183452e+00,4.319555870099327753e-03
1.874384022246618819e+00,3.955820984579830400e-04
1.882349944840634670e+00,3.386378836275685117e-02
1.884272796980613451e+00,7.079075660842382113e-04
1.884625286180746206e+00,8.358562116232803700e-04
1.887226454288080335e+00,2.255069018013775906e-09
1.889025304989832899e+00,4.646011095646757245e-03
1.889302550853835694e+00,2.577885666259906866e-02
1.894629901455342047e+00,1.348778957781821171e-02
1.895459341974688350e+00,1.298033097339135156e-04
1.895920082810557350e+00,8.455599816110079042e-05
1.905037485529013308e+00,1.878728385396737782e-02
1.907574431387825342e+00,9.894521899346274919e-07
1.908607013881362668e+00,3.465965976161904452e-03
1.910075142437569484e+00,6.192630817894445583e-02
1.911306172695902195e+00,2.454290085981659730e-05
1.913610494686442953e+00,2.153736730459758578e-05
1.917291631901674176e+00,4.711747192144905883e-09
1.917992063193227015e+00,7.016362138906137190e-04
1.920457552888643837e+00,3.663083885746201565e-04
1.921010733374578505e+00,2.943330164626017479e-06
1.923598255197567219e+00,4.490992100216121934e-04
1.924079132493377475e+00,8.069906843345393821e-02
1.928070583118011161e+00,2.914440093400388464e-03
1.930236608003649268e+00,1.850967898937503839e-02
1.942390524784060712e+00,2.413168078937512654e-05
1.945198196631617193e+00,7.592304309397704398e-02
1.945308934822840063e+00,4.049915423003067755e-02
1.946255924064488774e+00,4.673614116403650913e-04
1.947120231689700498e+00,2.444030068933995044e-03
1.947671534414439742e+00,8.024168075678825285e-02
1.949410045344592834e+00,2.967099416349187571e-06
1.950946373380096910e+00,8.201141706572230170e-08
1.961682733534259704e+00,6.668495168064223757e-04
1.970440441332292680e+00,2.714910697092693097e-03
1.973229305059972960e+00,7.321293594123430559e-03
1.973670378347454069e+00,1.973171021778720446e-02
1.976456042767379850e+00,1.263014983293031870e-03
1.977746903374366649e+00,6.963262070875862698e-04
1.982621534285808895e+00,2.362959419414347589e-02
1.982696607080492779e+00,8.537383977673090702e-07
1.984043656724341131e+00,5.184366618699494389e-02
1.985241987054841006e+00,7.185553585675519056e-04
1.989843025121917020e+00,2.451236898548484616e-04
1.993250059496864290e+00,6.359353752053389279e-04
2.004110423166810762e+00,2.295073351356455703e-05
2.008491727291775941e+00,2.985645504523236436e-03
2.009801324253067900e+00,4.123524888020005017e-04
2.010763939675086931e+00,1.250759668810494905e-02
2.018440195913991708e+00,1.838668780259250990e-03
2.023026616517045628e+00,1.028674730856610486e-01
2.028181283245413358e+00,6.341338161843112120e-05
2.035245000579356756e+00,3.669141907272634087e-03
2.046196863141208411e+00,6.259334579517293390e-04
2.047812877157893841e+00,7.412504090595978734e-04
2.057555896753006319e+00,8.816817196574427051e-05
2.060016018634667212e+00,5.745440298694416519e-03
2.066240739189390219e+00,2.122615172935705119e-01
2.069418785624043799e+00,3.723690263869624548e-07
2.072130326954868540e+00,1.217581632979247958e-05
2.075802695410980281e+00,8.530028007474085145e-05
2.078237022328484951e+00,2.925857345967624324e-05
2.078916592772301453e+00,4.426198723284978937e-06
2.082451056450983717e+00,4.320955512976747907e-04
2.084791874934853073e+00,9.186764137122933980e-05
2.087602681382851877e+00,4.207084708880760563e-07
2.091596345311250715e+00,9.185517373162200498e-05
2.100551919706348247e+00,1.063134354016319815e-03
2.107121168764561681e+00,4.304955321252690315e-03
2.108347811628999757e+00,1.039281744014772507e-03
2.116237058320049602e+00,2.026548230848694305e-03
2.116963256739890387e+00,8.312758185934170790e-03
2.117695235021991529e+00,2.506542329195211513e-03
2.120107785571204495e+00,3.832552902046179599e-02
2.122152457124296898e+00,2.673299745962571805e-01
2.123086885656605194e+00,7.411220605459577226e-02
2.134319780362664787e+00,1.793351871543930336e-04
2.136405496510536572e+00,1.201521429376146977e-02
2.140564449381385348e+00,1.160782702085898991e-06
2.145799019659106133e+00,1.093154950545313468e-02
2.152268703839716579e+00,2.312868446645872378e-01
2.155673877757517065e+00,4.124590150188496215e-03
2.157562504264028735e+00,8.283416970838483704e-05
2.159269794783137186e+00,4.793455277987799731e-03
2.167048641567090428e+00,9.663508926553108017e-03
2.168314139108977301e+00,1.033781248757373737e-05
2.171869419868158957e+00,7.153994275023194864e-04
